GEMSTONE_CATEGORY,GEMSTONE_NAME
Diamonds,Diamond
Diamonds,Fancy Diamond
Lab-Created Diamonds,Lab-Created Diamond
Non-precious,Crystals
Pearls,Saltwater Pearl
Pearls,Freshwater Pearl
Pearls,akoya-cultured Pearl
Pearls,biwa-cultured Pearl
Pearls,chinese-freshwater-cultured Pearl
Pearls,hybrid-cultured Pearl
Pearls,keshi-cultured Pearl
Pearls,mabe-cultured Pearl
Pearls,majorca-cultured Pearl
Pearls,natural-pearl
Pearls,simulated-pearl
Pearls,south-sea-baroque-cultured Pearl
Pearls,south-sea-cultured Pearl
Pearls,tahitian-cultured Pearl
Precious,Sapphire
Precious,Ruby
Precious,Emerald
Precious (Lab-Created),Sapphire
Precious (Lab-Created),Ruby
Precious (Lab-Created),Emerald
Semi-precious,Topaz
Semi-precious,Amethyst
Semi-precious,Aquamarine
Semi-precious,Citrine
Semi-precious,Garnet
Semi-precious,Onyx
Semi-precious,Opal
Semi-precious,Peridot
Semi-precious,Tanzanite
Semi-precious,Achroite
Semi-precious,Agate
Semi-precious,Akoya Pearl
Semi-precious,Alexandrite
Semi-precious,Almandine Garnet
Semi-precious,Amazonite
Semi-precious,Amber
Semi-precious,Amethyst
Semi-precious,Ametrine
Semi-precious,Ammolite
Semi-precious,Anatase
Semi-precious,Andalusite
Semi-precious,Andesine
Semi-precious,Andradite Garnet
Semi-precious,Apatite
Semi-precious,Aquamarine
Semi-precious,Arkansas stone
Semi-precious,Axinite
Semi-precious,Azurite
Semi-precious,Barite
Semi-precious,Benitoite
Semi-precious,Beryl
Semi-precious,Bi-color tourmaline
Semi-precious,Bixbite
Semi-precious,Bloodstone
Semi-precious,Bowenite
Semi-precious,Calcite
Semi-precious,Californite
Semi-precious,Carnelian
Semi-precious,Chalcedony
Semi-precious,Chalybite
Semi-precious,Charoite
Semi-precious,Chrome Diopside
Semi-precious,Chrome sphene
Semi-precious,Chrome Tourmaline
Semi-precious,Chrysoberyl
Semi-precious,Chrysocolla
Semi-precious,Chrysoprase
Semi-precious,Citrine
Semi-precious,Clinohumite
Semi-precious,Conch pearl
Semi-precious,Copal
Semi-precious,Coral
Semi-precious,Cordierite
Semi-precious,Corundum
Semi-precious,Cyprine
Semi-precious,Danburite
Semi-precious,Datolite
Semi-precious,Demantoid Garnet
Semi-precious,Diaspore
Semi-precious,Diopside
Semi-precious,Dioptase
Semi-precious,Dravite Tourmaline
Semi-precious,Ekanite
Semi-precious,Enstatite
Semi-precious,Feldspar
Semi-precious,Fluorite
Semi-precious,Freshwater pearl
Semi-precious,Garnet
Semi-precious,Goldstone
Semi-precious,Goshenite
Semi-precious,Green Beryl
Semi-precious,Greenovite
Semi-precious,Grossular
Semi-precious,Hackmanite
Semi-precious,Hauyne
Semi-precious,Heliodor
Semi-precious,Hiddenite
Semi-precious,Hydrogrossular Garnet
Semi-precious,Idocrase
Semi-precious,Inclusion quartz
Semi-precious,Indicolite Tourmaline
Semi-precious,Iolite
Semi-precious,Jade
Semi-precious,Jadeite
Semi-precious,Jasper
Semi-precious,Kornerupine
Semi-precious,Kunzite
Semi-precious,Kyanite
Semi-precious,Labradorite
Semi-precious,Lapiz Lazuli
Semi-precious,Larimar
Semi-precious,Liddicoatite Tourmaline
Semi-precious,Malachite
Semi-precious,Maw-sit-sit
Semi-precious,Maxixe Beryl
Semi-precious,Melo melo pearl
Semi-precious,Moonstone
Semi-precious,Morganite
Semi-precious,Nephrite
Semi-precious,Onyx
Semi-precious,Opal
Semi-precious,Paraiba type Tourmaline
Semi-precious,Pearl
Semi-precious,Pectolite
Semi-precious,Peridot
Semi-precious,Phenakite
Semi-precious,Poudretteite
Semi-precious,Praseolite (cordierite)
Semi-precious,Prasiolite (green quartz)
Semi-precious,Prasolite (chlorine group)
Semi-precious,Pyrope Garnet
Semi-precious,Quahog
Semi-precious,Quartz
Semi-precious,Reisling Beryl
Semi-precious,Rhodochrosite
Semi-precious,Rock Crystal
Semi-precious,Rose Quartz
Semi-precious,Rubellite Tourmaline
Semi-precious,Sard
Semi-precious,Sardonyx
Semi-precious,Scapolite
Semi-precious,Schorl Tourmaline
Semi-precious,Sea of Cortez pearl
Semi-precious,Siderite
Semi-precious,Smoky Quartz
Semi-precious,Sodalite
Semi-precious,South Sea Pearl
Semi-precious,Spectrolite
Semi-precious,Spessartite Garnet
Semi-precious,Sphalerite
Semi-precious,Sphene
Semi-precious,Spinel
Semi-precious,Spodumene
Semi-precious,Sunstone
Semi-precious,Tanzanite
Semi-precious,Tashmarine Diopside
Semi-precious,Thulite
Semi-precious,Tigereye
Semi-precious,Titanite
Semi-precious,Topaz
Semi-precious,Tourmaline
Semi-precious,Tri-color Tourmaline
Semi-precious,True Blue Beryl
Semi-precious,Tsavorite Garnet
Semi-precious,Turquoise
