GEMSTONE_MAIN_CATEGORY,GEMSTONE_SUB_CATEGORY,GEMSTONE_CLASSIFICATION,GEMSTONE_NAME
Diamonds,Diamonds,Diamonds,Diamond
Diamonds,Lab-Created Diamonds ,Lab-Created Diamonds ,Lab-Created Diamonds 
Gemstones,Semi-Precious,Other,Achroite
Gemstones,Semi-Precious,Other,Actinolite
Gemstones,Semi-Precious,Other,Adamite
Gemstones,Semi-Precious,Other,Agate
Gemstones,Semi-Precious,Other,Albite
Gemstones,Semi-Precious,Alexandrite,Alexandrite
Gemstones,Semi-Precious,Other,Algodonite
Gemstones,Semi-Precious,Other,Almandine 
Gemstones,Semi-Precious,Other,Amazonite
Gemstones,Non-precious,Other,Amber
Gemstones,Semi-Precious,Other,Amblygonite
Gemstones,Semi-Precious,Amethyst,Amethyst
Gemstones,Semi-Precious,Other,Ametrine
Gemstones,Semi-Precious,Other,Ammolite
Gemstones,Semi-Precious,Other,Analcime
Gemstones,Semi-Precious,Other,Anatase
Gemstones,Semi-Precious,Other,Andalusite
Gemstones,Semi-Precious,Other,Andesine
Gemstones,Semi-Precious,Other,Andradite
Gemstones,Semi-Precious,Other,Andradite 
Gemstones,Semi-Precious,Other,Angelite
Gemstones,Semi-Precious,Other,Anglesite
Gemstones,Semi-Precious,Other,Anhydrite
Gemstones,Semi-Precious,Other,Anorthite
Gemstones,Semi-Precious,Other,Apatite
Gemstones,Semi-Precious,Other,Apophyllite
Gemstones,Semi-Precious,Aquamarine,Aquamarine
Gemstones,Semi-Precious,Other,Aragonite
Gemstones,Semi-Precious,Other,Arkansas stone
Gemstones,Semi-Precious,Other,Augelite
Gemstones,Semi-Precious,Other,Axinite
Gemstones,Semi-Precious,Other,Azurite
Gemstones,Semi-Precious,Other,Barite
Gemstones,Semi-Precious,Other,Bayldonite
Gemstones,Semi-Precious,Other,Benitoite
Gemstones,Semi-Precious,Other,Beryl
Gemstones,Semi-Precious,Other,Beryllonite
Gemstones,Semi-Precious,Other,Bismutotantalite
Gemstones,Semi-Precious,Other,Bixbite
Gemstones,Semi-Precious,Other,Bloodstone
Gemstones,Semi-Precious,Other,Boleite
Gemstones,Semi-Precious,Other,Boracite
Gemstones,Semi-Precious,Other,Bornite
Gemstones,Semi-Precious,Other,Bowenite
Gemstones,Semi-Precious,Other,Brazilianite
Gemstones,Semi-Precious,Other,Breithauptite
Gemstones,Semi-Precious,Other,Brookite
Gemstones,Semi-Precious,Other,Brucite
Gemstones,Semi-Precious,Other,Bustamite
Gemstones,Semi-Precious,Other,Bytownite
Gemstones,Semi-Precious,Other,Calcite
Gemstones,Semi-Precious,Other,Californite
Gemstones,Semi-Precious,Other,Canasite
Gemstones,Semi-Precious,Other,Cancrinite
Gemstones,Semi-Precious,Other,Carnelian
Gemstones,Semi-Precious,Other,Cassiterite
Gemstones,Semi-Precious,Other,Catapleiite
Gemstones,Semi-Precious,Other,Celestite
Gemstones,Semi-Precious,Other,Ceruleite
Gemstones,Semi-Precious,Other,Cerussite
Gemstones,Semi-Precious,Other,Chabazite
Gemstones,Semi-Precious,Other,Chalcedony
Gemstones,Semi-Precious,Other,Chalybite
Gemstones,Semi-Precious,Other,Chambersite
Gemstones,Semi-Precious,Other,Charoite
Gemstones,Semi-Precious,Other,Chicken blood
Gemstones,Semi-Precious,Other,Childrenite
Gemstones,Semi-Precious,Other,Chiolite
Gemstones,Semi-Precious,Other,Chromite
Gemstones,Semi-Precious,Other,Chrysoberyl
Gemstones,Semi-Precious,Other,Chrysocolla
Gemstones,Semi-Precious,Other,Chrysoprase
Gemstones,Semi-Precious,Other,Cinnabar
Gemstones,Semi-Precious,Citrine,Citrine
Gemstones,Semi-Precious,Other,Clinochlore
Gemstones,Semi-Precious,Other,Clinohumite
