SKU_COLOR,SKU_COLOR_SUBCATEGORY
Black,Black
Blue,AliceBlue
Blue,aquamarine
Blue,azure
Blue,Blue
Purple,BlueViolet
Blue,CadetBlue
Blue,CornflowerBlue
Blue,cyan
Blue,DarkBlue
Blue,DarkCyan
Blue,DarkSlateBlue
Blue,DarkTurquoise
Blue,DeepSkyBlue
Blue,DodgerBlue
Blue,LightBlue
Blue,LightCyan
Blue,LightSkyBlue
Blue,LightSlateBlue
Blue,LightSteelBlue
Blue,MediumAquamarine
Blue,MediumBlue
Blue,MediumSlateBlue
Blue,MediumTurquoise
Blue,MidnightBlue
Blue,navy
Blue,NavyBlue
Blue,PaleTurquoise
Blue,PowderBlue
Blue,RoyalBlue
Blue,SkyBlue
Blue,SlateBlue
Blue,SteelBlue
Blue,turquoise
Brown,beige
Brown,brown
Brown,burlywood
Brown,chocolate
Brown,peru
Brown,RosyBrown
Brown,SaddleBrown
Brown,SandyBrown
Brown,tan
Brown,X11 color name
Gray,DarkSlateGray
Gray,DarkSlateGrey
Gray,DimGray
Gray,DimGrey
Gray,gray
Gray,grey
Gray,LightGray
Gray,LightGrey
Gray,LightSlateGray
Gray,LightSlateGrey
Gray,SlateGray
Gray,SlateGrey
Green,chartreuse
Green,DarkGreen
Green,DarkKhaki
Green,DarkOliveGreen
Green,DarkSeaGreen
Green,ForestGreen
Green,green
Green,GreenYellow
Green,khaki
Green,LawnGreen
Green,LightGreen
Green,LightSeaGreen
Green,LimeGreen
Green,MediumSeaGreen
Green,MediumSpringGreen
Green,MintCream
Green,OliveDrab
Green,PaleGreen
Green,SeaGreen
Green,SpringGreen
Green,YellowGreen
Orange,bisque
Orange,coral
Orange,DarkOrange
Orange,DarkSalmon
Orange,honeydew
Orange,LightCoral
Orange,LightSalmon
Orange,orange
Orange,PeachPuff
Orange,salmon
Orange,sienna
Purple,DarkMagenta
Purple,DarkOrchid
Purple,DarkViolet
Purple,lavender
Purple,LavenderBlush
Purple,magenta
Purple,maroon
Purple,MediumOrchid
Purple,MediumPurple
Purple,orchid
Purple,plum
Purple,purple
Purple,thistle
Purple,violet
Red,DarkRed
Pink,DeepPink
Red,firebrick
Pink,HotPink
Red,IndianRed
Pink,LightPink
Purple,MediumVioletRed
Red,MistyRose
Red,OrangeRed
Purple,PaleVioletRed
Pink,pink
Red,red
Red,tomato
Purple,VioletRed
White,AntiqueWhite
White,FloralWhite
White,gainsboro
White,GhostWhite
White,ivory
White,linen
White,NavajoWhite
White,OldLace
White,seashell
White,snow
White,wheat
White,white
White,WhiteSmoke
Yellow,BlanchedAlmond
Yellow,cornsilk
Yellow,DarkGoldenrod
Yellow,gold
Yellow,goldenrod
Yellow,LemonChiffon
Yellow,LightGoldenrod
Yellow,LightGoldenrodYellow
Yellow,LightYellow
Yellow,moccasin
Yellow,PaleGoldenrod
Yellow,PapayaWhip
Yellow,yellow
Purple,Lila
Purple,Lilac
Multicolor,Multicolor
