,description,SKU,tags
0,looking fun trendy look go iconic jewelry splash color lilac-colored elastic bracelet silver star part sweet doll collection versatile piece jewelry go anywhere you.tous sweet doll lilac-colored elastic bracelet silver vermeil star charm charm size 14 x 15 mm bracelet length 17 cm.lilac-colored elastic sweet doll bracelet silver vermeil star,212781640,"{'CATEGORY_1': ['jewelry'], 'CATEGORY_2': ['bracelet'], 'MAIN_MATERIAL': ['silver'], 'SECONDARY_MATERIAL': ['silver'], 'SIZE_SYSTEM': ['mm'], 'RAW_METAL': ['silver'], 'PLATING_METAL': ['silver'], 'length': '17cm', 'size': '14 x 15mm'}"
1,looking fun trendy look go iconic jewelry splash color blue elastic bracelet silver star part sweet doll collection versatile piece jewelry go anywhere you.tous sweet doll blue elastic bracelet sterling silver star charm charm size 14 x 15 mm bracelet length 17 cm.blue elastic sweet doll bracelet silver star,212781620,"{'CATEGORY_1': ['jewelry'], 'CATEGORY_2': ['bracelet'], 'SKU_COLOR': ['blue'], 'MAIN_MATERIAL': ['silver'], 'SECONDARY_MATERIAL': ['silver'], 'SIZE_SYSTEM': ['mm'], 'RAW_METAL': ['silver'], 'PLATING_METAL': ['silver'], 'GEMSTONE_1_COLOR': ['blue'], 'length': '17cm', 'size': '14 x 15mm'}"
2,-tous good vibe bracelet multicolored polyester viscose cord 23 mm bar 6 mm four-leaf clover silver vermeil buckle sliding bear adjusting size sterling silver plated 18kt gold thickness 3 5 micron metal production technique casting.silver vermeil tous good vibe four-leaf clover bracelet multicolored cord,118111530,"{'CATEGORY_2': ['bracelet'], 'MAIN_MATERIAL': ['gold', 'silver'], 'MATERIAL_FINISHING': ['cord'], 'SECONDARY_MATERIAL': ['gold', 'silver'], 'SIZE_SYSTEM': ['mm'], 'RAW_METAL': ['gold', 'silver'], 'RAW_MATERIAL_STAMP': ['18kt'], 'IF_GOLD_VARIATION': ['gold'], 'PLATING_METAL': ['gold', 'silver'], 'PLATING_METAL_STAMP': ['18kt'], 'PLATING_TECHNIQUE': ['micron'], 'JEWELRY_SETTING_STYLE': ['bar'], 'GEMSTONE_1_SETTING': ['bar'], 'CLASP_TYPE': ['buckle'], 'length': '6mm', 'CATEGORY_1': 'jewelry'}"
3,tous new motif bracelet silver vermeil 4.4 mm x 4.6 mm amethyst heart pearl measuring ø3 mm bracelet length 17.5 cm.silver vermeil tous new motif bracelet amethyst heart,214931550,"{'CATEGORY_2': ['bracelet'], 'MAIN_MATERIAL': ['silver'], 'SECONDARY_MATERIAL': ['silver'], 'SIZE_SYSTEM': ['mm'], 'RAW_METAL': ['silver'], 'PLATING_METAL': ['silver'], 'GEMSTONE_1_NAME': ['pearl'], 'GEMSTONE_1_CATEGORY': ['amethyst', 'pearl'], 'GEMSTONE_1_CUT': ['heart'], 'CHAIN_TYPE': ['heart'], 'length': '17.5cm', 'CATEGORY_1': 'jewelry'}"
4,tous new motif bracelet silver vermeil pearl amethyst heart motif chrome diopside bear motif blue sapphire star motif bracelet length 16.5 cm.pearl tous new motif bracelet gemstone motif,214931540,"{'CATEGORY_2': ['bracelet'], 'SKU_COLOR': ['blue'], 'MAIN_MATERIAL': ['silver'], 'SECONDARY_MATERIAL': ['silver'], 'RAW_METAL': ['silver'], 'PLATING_METAL': ['silver'], 'GEMSTONE_1_NAME': ['pearl'], 'GEMSTONE_1_CATEGORY': ['sapphire', 'amethyst', 'diopside', 'pearl'], 'GEMSTONE_1_COLOR': ['blue'], 'GEMSTONE_1_CUT': ['heart'], 'CHAIN_TYPE': ['heart'], 'length': '16.5cm', 'CATEGORY_1': 'jewelry'}"
5,elasticated straight bracelet sterling silver pearl bear go kind look youre searching simple design without losing glamor its got elasticated tous straight bracelet ø5 mm cultivated freshwater pearl five 5.5 mm bear production technique casting.silver straight bracelet pearl,112721500,"{'CATEGORY_2': ['bracelet'], 'MAIN_MATERIAL': ['silver'], 'SECONDARY_MATERIAL': ['silver'], 'SIZE_SYSTEM': ['mm'], 'RAW_METAL': ['silver'], 'PLATING_METAL': ['silver'], 'GEMSTONE_1_NAME': ['pearl'], 'GEMSTONE_1_CATEGORY': ['pearl'], 'length': '5.5mm', 'CATEGORY_1': 'jewelry'}"
6,geometric shape gemstone steal show.tous straight disc bracelet sterling silver size 1.5 cm length 17.5 cm.silver straight disc bracelet,912721510,"{'CATEGORY_2': ['bracelet'], 'MAIN_MATERIAL': ['silver'], 'SECONDARY_MATERIAL': ['silver'], 'SIZE_SYSTEM': ['cm'], 'RAW_METAL': ['silver'], 'PLATING_METAL': ['silver'], 'length': '17.5cm', 'CATEGORY_1': 'jewelry'}"
7,jewel worked silver pearl combine icon get delicate elegant look.tous nocturne sterling silver tuyo three ø4-4.5 mm pearl push back bear 0.7 cm.short nocturne silver earring pearl,918443570,"{'CATEGORY_2': ['earring'], 'MAIN_MATERIAL': ['silver'], 'SECONDARY_MATERIAL': ['silver'], 'SIZE_SYSTEM': ['mm'], 'RAW_METAL': ['silver'], 'PLATING_METAL': ['silver'], 'GEMSTONE_1_NAME': ['pearl'], 'GEMSTONE_1_CATEGORY': ['pearl'], 'length': '0.7cm', 'CATEGORY_1': 'jewelry'}"
8,celebrating icon silver vermeil earring made ring shape bear carrusel collection revamped classic tous collection new piece create versatile jewelry ’ perfect time day.tous carrusel hoop earring silver vermeil ring bear motif size ø20 mm push back.tous carrusel motif hoop earring,216983520,"{'CATEGORY_1': ['jewelry'], 'CATEGORY_2': ['earring', 'ring'], 'CATEGORY_3': ['hoop'], 'MAIN_MATERIAL': ['silver'], 'SECONDARY_MATERIAL': ['silver'], 'SIZE_SYSTEM': ['mm'], 'RAW_METAL': ['silver'], 'PLATING_METAL': ['silver']}"
9,le minimalist jewelry full style hoop earring gold blue sapphire diamond basic collection symbol timelessness good taste combine earring create super-trendy look tous basic hoop earring 18kt yellow gold blue sapphire 0.03 ct h/si brilliant cut diamond thickness 2 mm ø8 mm hoop clasp production technique castinggold tous basic hoop earring blue sapphire diamond,211003100,"{'CATEGORY_1': ['jewelry'], 'CATEGORY_2': ['earring'], 'CATEGORY_3': ['hoop'], 'SKU_COLOR': ['yellow', 'blue'], 'MAIN_MATERIAL': ['gold'], 'SECONDARY_MATERIAL': ['gold'], 'SIZE_SYSTEM': ['mm'], 'RAW_METAL': ['gold'], 'RAW_MATERIAL_STAMP': ['18kt'], 'IF_GOLD_VARIATION': ['gold'], 'PLATING_METAL': ['gold'], 'PLATING_METAL_STAMP': ['18kt'], 'GEMSTONE_1_NAME': ['diamond'], 'GEMSTONE_1_CATEGORY': ['diamond', 'sapphire'], 'GEMSTONE_1_COLOR': ['yellow', 'blue'], 'length': '2mm'}"
